Article,Morph,Jewish,Person,Number,Tense,Mood,Voice,Gender,Case,Degree,Strength,Inflection,-2form,-2lemma,-2morph,-2person,-2number,-2tense,-2mood,-2voice,-2gender,-2case,-2degree,-2strength,-2inflection,-1form,-1lemma,-1morph,-1person,-1number,-1tense,-1mood,-1voice,-1gender,-1case,-1degree,-1strength,-1inflection,1form,1lemma,1morph,1person,1number,1tense,1mood,1voice,1gender,1case,1degree,1strength,1inflection,2form,2lemma,2morph,2person,2number,2tense,2mood,2voice,2gender,2case,2degree,2strength,2inflection,3form,3lemma,3morph,3person,3number,3tense,3mood,3voice,3gender,3case,3degree,3strength,3inflection,Answer
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,τοπου,τοπος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ειπεν,λεγω,3saia----i,3,s,a,i,a,-,-,-,-,i,αυτοις,αυτος,3p---md--i,3,p,-,-,-,m,d,-,-,i,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,αγρον,αγρος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,κεραμεως,κεραμευς,-s---mg--i,-,s,-,-,-,m,g,-,-,i,καθα,καθα,---------n,-,-,-,-,-,-,-,-,-,n,συνεταξεν,συντασσω,3saia----i,3,s,a,i,a,-,-,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,αυτω,αυτος,3s---md--i,3,s,-,-,-,m,d,-,-,i,κυριος,κυριος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
των,-p---mg--i,yes,-,p,-,-,-,m,g,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,βασιλευς,βασιλευς,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ιουδαιων,ιουδαιος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,αλλ’,αλλα,---------n,-,-,-,-,-,-,-,-,-,n,οτι,οτι,---------n,-,-,-,-,-,-,-,-,-,n,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,ιησους,ιησους,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,ιερον,ιερον,-s---na--i,-,s,-,-,-,n,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εδιδασκεν,διδασκω,3siia----i,3,s,i,i,a,-,-,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,αρεσκετω,αρεσκω,3spma----i,3,s,p,m,a,-,-,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,αγαθον,αγαθος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,οικοδομην,οικοδομη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,θεος,θεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,μετανοιαν,μετανοια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,ζωην,ζωη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,θεος,θεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,συνεκερασεν,συγκεραννυμι,3saia----i,3,s,a,i,a,-,-,-,-,i,σωμα,σωμα,-s---na--i,-,s,-,-,-,n,a,-,-,i,τω,ο,-s---od--i,-,s,-,-,-,o,d,-,-,i,υστερουμενω,υστερεω,-spppnd--i,-,s,p,p,p,n,d,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,μακεδονιας,μακεδονια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,υστερημα,υστερημα,-s---na--i,-,s,-,-,-,n,a,-,-,i,μου,εγω,1s---mg--i,1,s,-,-,-,m,g,-,-,i,3
το,-s---na--i,no,-,s,-,-,-,n,a,-,-,i,σε,συ,2s---ma--i,2,s,-,-,-,m,a,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,οικημα,οικημα,-s---na--i,-,s,-,-,-,n,a,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,τω,ο,-s---nd--i,-,s,-,-,-,n,d,-,-,i,2
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,εζωγρηθη,ζωγρεω,3saip----i,3,s,a,i,p,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ιστιαιος,ιστιαιος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ωδε,ωδε,---------n,-,-,-,-,-,-,-,-,-,n,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,εδειξεν,δεικνυμι,3saia----i,3,s,a,i,a,-,-,-,-,i,μοι,εγω,1s---md--i,1,s,-,-,-,m,d,-,-,i,πολιν,πολις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,αγιαν,αγιος,-s---fap-i,-,s,-,-,-,f,a,p,-,i,2
τους,-p---ma--i,yes,-,p,-,-,-,m,a,-,-,i,κρατος,κρατος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,αιωνας,αιων,-p---ma--i,-,p,-,-,-,m,a,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,αιωνων,αιων,-p---mg--i,-,p,-,-,-,m,g,-,-,i,2
των,-p---mg--i,yes,-,p,-,-,-,m,g,-,-,i,ωσπερ,ωσπερ,---------n,-,-,-,-,-,-,-,-,-,n,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,ιδιων,ιδιος,-p---ngp-i,-,p,-,-,-,n,g,p,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,θεος,θεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,2
τους,-p---ma--i,yes,-,p,-,-,-,m,a,-,-,i,μη,μη,---------n,-,-,-,-,-,-,-,-,-,n,φωνει,φωνεω,2spma----i,2,s,p,m,a,-,-,-,-,i,φιλους,φιλος,-p---ma--i,-,p,-,-,-,m,a,-,-,i,σου,συ,2s---pg--i,2,s,-,-,-,p,g,-,-,i,μηδε,μηδε,---------n,-,-,-,-,-,-,-,-,-,n,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,του,ο,-s---ng--i,-,s,-,-,-,n,g,-,-,i,πνευματος,πνευμα,-s---ng--i,-,s,-,-,-,n,g,-,-,i,ζωης,ζωη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,χριστω,χριστος,-s---md--i,-,s,-,-,-,m,d,-,-,i,2
του,-s---mg--i,no,-,s,-,-,-,m,g,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,κυρου,κυρος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,καμβυσεω,καμβυσης,-s---mg--i,-,s,-,-,-,m,g,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,τεισπεος,τεισπης,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,ηλιος,ηλιος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εκλιπων,εκλειπω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ουρανου,ουρανος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,5
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,προσκοπτει,προσκοπτω,3spia----i,3,s,p,i,a,-,-,-,-,i,καλον,καλος,-s---nnp-i,-,s,-,-,-,n,n,p,-,i,μη,μη,---------n,-,-,-,-,-,-,-,-,-,n,φαγειν,εσθιω,--ana----i,-,-,a,n,a,-,-,-,-,i,κρεα,κρεας,-p---na--i,-,p,-,-,-,n,a,-,-,i,3
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,εργων,εργον,-p---ng--i,-,p,-,-,-,n,g,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,λατρευειν,λατρευω,--pna----i,-,-,p,n,a,-,-,-,-,i,θεω,θεος,-s---md--i,-,s,-,-,-,m,d,-,-,i,ζωντι,ζω,-sppamd--i,-,s,p,p,a,m,d,-,-,i,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,καθ’,κατα,---------n,-,-,-,-,-,-,-,-,-,n,ολης,ολος,-s---fgp-i,-,s,-,-,-,f,g,p,-,i,ιουδαιας,ιουδαια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,γαλιλαιας,γαλιλαια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,3
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,η,ο,-s---fn--i,-,s,-,-,-,f,n,-,-,i,κλεις,κλεις,-s---fn--i,-,s,-,-,-,f,n,-,-,i,φρεατος,φρεαρ,-s---ng--i,-,s,-,-,-,n,g,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,αβυσσου,αβυσσος,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
τα,-p---na--i,no,-,p,-,-,-,n,a,-,-,i,ονησιλος,ονησιλος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,κατα,κατα,---------n,-,-,-,-,-,-,-,-,-,n,συνεθηκατο,συντιθημι,3saim----i,3,s,a,i,m,-,-,-,-,i,τω,ο,-s---md--i,-,s,-,-,-,m,d,-,-,i,υπασπιστη,υπασπιστης,-s---md--i,-,s,-,-,-,m,d,-,-,i,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,σωματος,σωμα,-s---ng--i,-,s,-,-,-,n,g,-,-,i,τι,τις,-s---nn--i,-,s,-,-,-,n,n,-,-,i,οφελος,οφελος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,αναβαντες,αναβαινω,-papamn--i,-,p,a,p,a,m,n,-,-,i,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,δωμα,δωμα,-s---na--i,-,s,-,-,-,n,a,-,-,i,δια,δια,---------n,-,-,-,-,-,-,-,-,-,n,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,ταις,ο,-p---fd--i,-,p,-,-,-,f,d,-,-,i,επιθυμιαις,επιθυμια,-p---fd--i,-,p,-,-,-,f,d,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,χριστου,χριστος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,4
η,-s---fn--i,no,-,s,-,-,-,f,n,-,-,i,θεραποντες,θεραπων,-p---mn--i,-,p,-,-,-,m,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,πασα,πας,-s---fn--i,-,s,-,-,-,f,n,-,-,i,πολλη,πολυς,-s---fnp-i,-,s,-,-,-,f,n,p,-,i,παρασκευη,παρασκευη,-s---fn--i,-,s,-,-,-,f,n,-,-,i,4
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,ελλησποντιην,ελλησποντιας,-s---ma--i,-,s,-,-,-,m,a,-,-,i,καλεουσι,καλεω,3ppia----i,3,p,p,i,a,-,-,-,-,i,περι,περι,---------n,-,-,-,-,-,-,-,-,-,n,ταυτα,ουτος,-p---na--i,-,p,-,-,-,n,a,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,5
του,-s---ng--i,no,-,s,-,-,-,n,g,-,-,i,υμεας,συ,2p---ma--i,2,p,-,-,-,m,a,-,-,i,ειρησεται,λεγω,3sfim----i,3,s,f,i,m,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εινεκα,ενεκα,---------n,-,-,-,-,-,-,-,-,-,n,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,3
ταις,-p---fd--i,yes,-,p,-,-,-,f,d,-,-,i,εσται,ειμι,3sfim----i,3,s,f,i,m,-,-,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,εσχαταις,εσχατος,-p---fds-i,-,p,-,-,-,f,d,s,-,i,ημεραις,ημερα,-p---fd--i,-,p,-,-,-,f,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,3
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,χωρην,χωρα,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ηρχε,αρχω,3siia----i,3,s,i,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,γεγραπται,γραφω,3srip----i,3,s,r,i,p,-,-,-,-,i,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,υιον,υιος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ανθρωπου,ανθρωπος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
των,-p---mg--i,no,-,p,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,τιλωνας,τιλων,-p---ma--i,-,p,-,-,-,m,a,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ιχθυων,ιχθυς,-p---mg--i,-,p,-,-,-,m,g,-,-,i,εστι,ειμι,3spia----i,3,s,p,i,a,-,-,-,-,i,3
των,-p---qg--i,yes,-,p,-,-,-,q,g,-,-,i,τα,ο,-p---nn--i,-,p,-,-,-,n,n,-,-,i,ομοιωματα,ομοιωμα,-p---nn--i,-,p,-,-,-,n,n,-,-,i,ακριδων,ακρις,-p---fg--i,-,p,-,-,-,f,g,-,-,i,ομοιοι,ομοιος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,ιπποις,ιππος,-p---md--i,-,p,-,-,-,m,d,-,-,i,2
τη,-s---fd--i,yes,-,s,-,-,-,f,d,-,-,i,τοις,ο,-p---md--i,-,p,-,-,-,m,d,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,οικια,οικια,-s---fd--i,-,s,-,-,-,f,d,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,σφισι,σφεις,3p---md--i,3,p,-,-,-,m,d,-,-,i,εουσαν,ειμι,-sppafa--i,-,s,p,p,a,f,a,-,-,i,αρχην,αρχη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,εχθρης,εχθρα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,λοφος,λοφος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ουτος,ουτος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,χαριτων,χαρις,-p---fg--i,-,p,-,-,-,f,g,-,-,i,δασυς,δασυς,-s---mnp-i,-,s,-,-,-,m,n,p,-,i,ιδησι,ιδη,-p---fd--i,-,p,-,-,-,f,d,-,-,i,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,μη,μη,---------n,-,-,-,-,-,-,-,-,-,n,ποιεεσθαι,ποιεω,--pnm----i,-,-,p,n,m,-,-,-,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,τους,ο,-p---ma--i,-,p,-,-,-,m,a,-,-,i,ελληνας,ελλην,-p---ma--i,-,p,-,-,-,m,a,-,-,i,5
τα,-p---nn--i,yes,-,p,-,-,-,n,n,-,-,i,μου,εγω,1s---mg--i,1,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,σιτιστα,σιτιστος,-p---nnp-i,-,p,-,-,-,n,n,p,-,i,τεθυμενα,θυω,-prppnn--i,-,p,r,p,p,n,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
τους,-p---ma--i,no,-,p,-,-,-,m,a,-,-,i,τη,ο,-s---fd--i,-,s,-,-,-,f,d,-,-,i,υστεραιη,υστεραιος,-s---fdp-i,-,s,-,-,-,f,d,p,-,i,περσας,περσης,-p---ma--i,-,p,-,-,-,m,a,-,-,i,κατακλινας,κατακλινω,-sapamn--i,-,s,a,p,a,m,n,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,καταφαγη,κατεσθιω,3sasa----i,3,s,a,s,a,-,-,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,δρακων,δρακων,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εστηκεν,ιστημι,3sria----i,3,s,r,i,a,-,-,-,-,i,ενωπιον,ενωπιον,---------n,-,-,-,-,-,-,-,-,-,n,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,ουν,ουν,---------n,-,-,-,-,-,-,-,-,-,n,αυτοις,αυτος,3p---md--i,3,p,-,-,-,m,d,-,-,i,ιησους,ιησους,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---nn--i,no,-,s,-,-,-,n,n,-,-,i,απορθητον,απορθητος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,τελεθειν,τελεθω,--pna----i,-,-,p,n,a,-,-,-,-,i,σε,συ,2s---ma--i,2,s,-,-,-,m,a,-,-,i,τεκνα,τεκνον,-p---na--i,-,p,-,-,-,n,a,-,-,i,τ’,τε,---------n,-,-,-,-,-,-,-,-,-,n,5
τοισι,-p---md--i,no,-,p,-,-,-,m,d,-,-,i,εδικαιευν,δικαιοω,3piia----i,3,p,i,i,a,-,-,-,-,i,γινεσθαι,γιγνομαι,--pnm----i,-,-,p,n,m,-,-,-,-,i,κακοισι,κακος,-p---mdp-i,-,p,-,-,-,m,d,p,-,i,αυτων,αυτος,3p---mg--i,3,p,-,-,-,m,g,-,-,i,ομοιοι,ομοιος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,2
τα,-p---na--i,no,-,p,-,-,-,n,a,-,-,i,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,ιρα,ιερον,-p---na--i,-,p,-,-,-,n,a,-,-,i,σφετερα,σφετερος,3p---na--i,3,p,-,-,-,n,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,εβληθη,βαλλω,3saip----i,3,s,a,i,p,-,-,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,θαλασσαν,θαλασσα,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,αργειων,αργειος,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,αποικοι,αποικος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,κουριεες,κουριευς,-p---mn--i,-,p,-,-,-,m,n,-,-,i,ουτοι,ουτος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,3
τοις,-p---nd--i,yes,-,p,-,-,-,n,d,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,κλαιουσα,κλαιω,-sppafn--i,-,s,p,p,a,f,n,-,-,i,δακρυσιν,δακρυον,-p---nd--i,-,p,-,-,-,n,d,-,-,i,ηρξατο,αρχω,3saim----i,3,s,a,i,m,-,-,-,-,i,βρεχειν,βρεχω,--pna----i,-,-,p,n,a,-,-,-,-,i,2
